company;text;source
Furman Foods Inc;"Furman Foods, Inc., doing business as Furmano Foods, grows and produces canned vegetable products. It offers tomato, bean, and vegetable products; and formulates ready to use recipes for salads, stews, puffs, sauces, sliders, pizzas, bocaditos, tacos, soups, chili, appetizers, vegetarian, beef, fish, chicken, and pork products. The company serves customers in various sectors, including foodservice, retail, manufacturing, export, and branded and private label. Furman Foods, Inc. was founded in 1921 and is based in Northumberland, Pennsylvania.";Bloomberg
Cherry Growers Inc;"Cherry Growers, Inc. operates as a fruit processor in Michigan. It offers apples, sweet and tart cherries, juices, dried fruits, apple sauces, and pie fillings. The company also provides apple rings, shelf stable juices, puddings, and cheese sauces; assortments of applesauce and shelf stable juices; and frozen cherries and apples. It offers its products for schools, restaurants, and buffets through its retail outlet store. Cherry Growers, Inc. was founded in 1939 and is based in Traverse City, Michigan. On August 31, 2017, Cherry Growers, Inc. filed a voluntary petition for reorganization under Chapter 11 in the U.S. Bankruptcy Court for the Western District of Michigan. The plan was later approved as liquidation plan.";Bloomberg
Monterey Mushrooms;Monterey Mushrooms, Inc. grows, harvests, packages, and distributes mushrooms to retailers, ingredient manufacture operations, supermarkets, and foodservice operators in North America and internationally. It offers white, portabella, specialty, organic, and processed mushrooms, as well as canned and frozen mushroom products. Monterey Mushrooms, Inc. was founded in 1971 and is based in Watsonville, California with production, sales, and administrative offices in the United States and internationally.;Bloomberg
Kraft Foods Group;"As of July 2, 2015, Kraft Foods Group, Inc was acquired by The Kraft Heinz Company. Kraft Foods Group, Inc. operates as a consumer packaged food and beverage company. It operates through six segments: Cheese, Refrigerated Meals, Beverages, Meals & Desserts, Enhancers & Snack Nuts, and Canada. The company provides natural, cream, processed, grated and shredded, and cottage chesses, as well as sour creams; cold cuts, hot dogs, bacons, and protein packs; lunch combinations, pickles, and meat alternatives; coffees, hot beverage systems, packaged juice drinks, powdered beverages, and liquid concentrates; and refreshment beverages. It also offers macaroni and cheese dinners, shells and cheese dinners, dry packaged desserts, refrigerated gelatin and pudding snacks, whipped toppings, stuffing mixes, marshmallows, meal kits, bake coatings, and chocolate and baking ingredients; nuts and trail mixes, spoonable dressings, salad dressings, sauces, and mustards; and peanut butter. The company markets its products under the Kraft, Cracker Barrel, Philadelphia, Deli Deluxe, Velveeta, Cheez Whiz, Polly-O, Athenos, Breakstoneís, Knudsen, Oscar Mayer, Lunchables, Claussen, P3, Boca, Maxwell House, Gevalia, Yuban, Tassimo, Capri Sun, MiO, Crystal Light, Kool-Aid, Country Time, Kraft Deluxe, JELL-O, Cool Whip, Stove Top, Jet-Puffed, Velveeta Cheesy Skillets, Taco Bell Home Originals, Shake ëN Bake, Bakerís, Planters, Kraft Mayo, Miracle Whip, Good Seasons, Bullís-Eye, Grey Poupon, and Nabob brand names. It serves supermarket chains, wholesalers, supercenters, club stores, mass merchandisers, distributors, convenience stores, drug stores, value stores, and other retail food outlets in the United States and Canada. The company also exports its products. The company was formerly known as Kraft Foods Global, Inc. and changed its name to Kraft Foods Group, Inc. in March 2012. Kraft Foods Group, Inc. was founded in 1980 and is headquartered in Northfield, Illinois.
";Bloomberg
Neil Jones Food Co;"The Neil Jones Food Company, a food processing company, produces natural and organic tomatoes, sauce blends, canned fruits, cranberry sauces, and fruit juice concentrates. The company also offers canned pears, cherries, plums, and cranberry sauces; tomato and sauce ingredients; and canned pineapple, mandarins, peaches, apricots, fruit cocktail, pepperoncinis, and kalamata olives. It serves food retail, food service, chain restaurant, and industrial markets in the United States and internationally. The company was incorporated in 1984 and is based in Vancouver, Washington. It has processing facilities in Vancouver, Washington; and Hollister and Firebaugh, California.";Bloomberg
Peter Pan Seafoods;"Peter Pan Seafoods, Inc. produces and sells frozen, canned, and fresh seafood products. The company focuses on catching, harvesting, processing, and marketing salmon, halibut, pollock, cod, and crab from the pristine waters of Alaska. It also offers tuna, mahi, swordfish, Atlantic salmon, canned salmon, and imitation krab; and king crab, tanner crab, and surimi (analogs). The company offers its products to processors, retailers, supermarkets, and food distributors in North America, Asia, Europe, and internationally. Peter Pan Seafoods, Inc. was formerly known as P. E. Harris Co., Inc. and changed its name in March 1950. The company was founded in 1912 and is based in Seattle, Washington with processing facilities in King Cove, Dillingham, Port Moller, and Valdez, Alaska. It has support facilities in False Pass, Naknek, Sand Point, and Dillingham, Alaska; and a labelling warehouse in Astoria, Oregon. Peter Pan Seafoods, Inc. operates as a subsidiary of Maruha Capital Investment, Inc.";Bloomberg
Dole Fresh Vegetables;Dole Fresh Vegetables, Inc. produces and markets fresh fruits, vegetables, and flowers. It also offers packaged foods, such as salads, as well as frozen fruits. Dole Fresh Vegetables, Inc. was formerly known as Castle & Cooke Fresh Vegetables, Inc. and changed its name to Dole Fresh Vegetables, Inc. in January 1990. The company was incorporated in 1983 and is based in Monterey, California. Dole Fresh Vegetables, Inc. operates as a subsidiary of Dole Food Company Inc.;Bloomberg
American Crystal Sugar Company;"American Crystal Sugar Company, an agricultural cooperative corporation, produces, markets, and sells sugar and related agri-products in the United States. The company operates through two segments, Sugar and Leasing. It offers industrial sugar products, such as commercial, bottlers, canners, liquid, granulated, powdered, and brown sugars; and retail sugar. The company also provides agri-products, including sugar beet pulp, molasses, concentrated separated by-products, betaine, beet pulp pellets, and raffinate; and sugar beet seeds. In addition, it is involved in leasing a corn wet milling plant used in the production of high-fructose corn syrup. The company sells its sugar products primarily to industrial users, such as confectioners, breakfast cereal manufacturers, and bakeries; and wholesalers and retailers under the Crystal Sugar trademark, as well as for household consumption under various private labels. It exports its products. American Crystal Sugar Company was founded in 1890 and is headquartered in Moorhead, Minnesota.
";Bloomberg
Seneca Foods Corp.;"Seneca Foods Corporation provides packaged fruits and vegetables in the United States and internationally. It offers canned, frozen, and bottled produce; and snack chips and other food products under the private label, as well as under various national and regional brands that the company owns or licenses, including Seneca, Libbyís, Aunt Nellieís, READ, Green Valley, Cherryman, and Seneca Farms. The company also packs Green Giant, Le Sueur, and other brands of canned vegetables, as well as selected Green Giant frozen vegetables for B&G Foods North America under a contract packing agreement. In addition, it is involved in the sale of cans and ends, as well as trucking and aircraft operations. The company offers its products to grocery outlets, including supermarkets, mass merchandisers, limited assortment stores, club stores, and dollar stores; and food service distributors, industrial markets, other food packagers, and export customers in 90 countries, as well as to the federal, state, and local governments for school and other feeding programs. Seneca Foods Corporation was founded in 1949 and is headquartered in Marion, New York.";Bloomberg
Guidas Milk And Ice Cream;"Guidaís history begins when Seibert Dairy was founded in 1886 at the current New Britain Connecticut location.  Alexander Guida Jr. started his business in the 1930ís and his brother Frank Guida joined him several years later.  They purchased Seibert Dairy in 1947 and named the newly formed company the Guida Seibert Dairy Co.

With a history of continuous growth, Guidaís Dairy has become one of the leading milk processors in New England.  Having a modern state of the art plant, Guidaís offers an extensive line of fluid milk, cream, ice cream mixes, fruit drinks, orange juice and a variety of other dairy products.
With a fleet of over 200 vehicles, Guidaís Dairy serves a variety of customer bases in Connecticut, Rhode Island, Massachusetts, New Hampshire, Northern New Jersey, NYC, Long Island and Eastern New York.  Plans are now being made to extend the distribution area and our footprint more extensively to service larger regional accounts. 
On February 13, 2012 Guida Seibert Dairy became part of Dairy Farmers of America (DFA).  After operating as a successful family owned business for 65 years, Guidaís Dairy is now operated as a thriving 100% farmer owned business.  DFA, which is a large farmer owned co-op, has provided the resources to Guidaís Dairy to grow and expand into an even larger more successful regional dairy processor.
Guidaís Dairy continues to be a customer centric company providing nutritious dairy products from our farms to your table.";homepage
SEW Friel LLP;"S.E.W. Friel, LLP manufactures and supplies canned food products to customers in the United States and internationally. The company offers canned whole kernel and cream style corn products. It also provides private labeling services. The company was founded in 1903 and is based in Queenstown, Maryland. It has locations in Baltimore, Maryland; Wilmington, Delaware; Eddystone, Pennsylvania; Norfolk, Virginia; and Elizabeth, New Jersey.";Bloomberg
H J Heinz Co;H.J. Heinz Company, L.P. manufactures and distributes Heinz Ketchup, condiments, dressings, sauces, soups, and dessert products. The company is based in Pittsburgh, Pennsylvania. H.J. Heinz Company, L.P. operates as a subsidiary of The Kraft Heinz Foods Company;Bloomberg
Parker Farms Inc;Parkers Farm, Inc. produces cold packed cheese spreads, peanut butter, salsas, dips, and bagel spreads. The company offers its products through grocery stores and retailers in the United States. Parkers Farm, Inc. was founded in 1977 and is based in Coon Rapids, Minnesota.;Bloomberg
McLeod Farms;"Jarred Products
Preserves and Jams 
 
Preserves & Jams - No Sugar Added 
 
Butters 
 
Pickles & Relishes 
 
Ciders 
 
Miscellaneous Jarred Products 
 
Sauces 
 
Salsas 
 
Dressings 
";homepage
Southern Gardens Citrus;Southern Gardens Citrus Holding Corporation processes and packages orange juice for both private-label and name-brand customers. The company is based in Clewiston, Florida. Southern Gardens Citrus Holding Corporation operates as a subsidiary of United States Sugar Corporation.;Bloomberg
